Name;URL;Author;Price;Number of ratings;Average Rating
Before We Were Yours: A Novel;https://www.amazon.in/Before-We-Were-Yours-Novel/dp/0425284689?_encoding=UTF8&psc=1;Lisa Wingate;$15.60;5,954;4.7 out of 5 stars
The Whole30: The 30-Day Guide to Total Health and Food Freedom;https://www.amazon.in/Whole30-30-Day-Guide-Health-Freedom/dp/0544609719?_encoding=UTF8&psc=1;Melissa Hartwig;$20.98;3,200;4.6 out of 5 stars
The Wonderful Things You Will Be;https://www.amazon.in/Wonderful-Things-You-Will-Be/dp/0385376715?_encoding=UTF8&psc=1;Emily Winfield Martin;$12.19;1,447;4.8 out of 5 stars
God Gave Us Easter;https://www.amazon.in/Gave-Easter-Lisa-Tawn-Bergren/dp/0307730727?_encoding=UTF8&psc=1;Lisa Tawn Bergren;$8.40;257;4.6 out of 5 stars
The Pout-Pout Fish;https://www.amazon.in/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979?_encoding=UTF8&psc=1;Deborah Diesen;$5.79;2,284;4.8 out of 5 stars
Embraced: 100 Devotions to Know God Is Holding You Close;https://www.amazon.in/Embraced-Devotions-Know-Holding-Close/dp/1400310296?_encoding=UTF8&psc=1;Lysa TerKeurst;$12.39;8;4.7 out of 5 stars
World of Warcraft Chronicle Volume 3;https://www.amazon.in/World-Warcraft-Chronicle-BLIZZARD-ENTERTAINMENT/dp/1616558474?_encoding=UTF8&psc=1;BLIZZARD;$23.99;6;3.1 out of 5 stars
The Sun and Her Flowers;https://www.amazon.in/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?_encoding=UTF8&psc=1;Rupi Kaur;$10.19;671;4.6 out of 5 stars
The Tale of Peter Rabbit Story Board Book;https://www.amazon.in/Tale-Peter-Rabbit-Story-Board/dp/0723244324?_encoding=UTF8&psc=1;Beatrix Potter;$4.71;933;4.2 out of 5 stars
Simon vs. the Homo Sapiens Agenda;https://www.amazon.in/Simon-vs-Homo-Sapiens-Agenda/dp/006234868X?_encoding=UTF8&psc=1;Becky Albertalli;$6.69;819;4.7 out of 5 stars
Big Preschool Workbook;https://www.amazon.in/Preschool-Workbook-School-Zone-Staff/dp/0887431453?_encoding=UTF8&psc=1;School Zone Staff;$7.49;709;4.7 out of 5 stars
Baby Touch and Feel: Animals;https://www.amazon.in/Baby-Touch-Feel-Animals-DK/dp/0756634687?_encoding=UTF8&psc=1;DK;$4.19;1,625;4.5 out of 5 stars
The Great Alone: A Novel;https://www.amazon.in/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?_encoding=UTF8&psc=1;Kristin Hannah;$17.39;1,628;4.6 out of 5 stars
Principles: Life and Work;https://www.amazon.in/Principles-Life-Work-Ray-Dalio/dp/1501124021?_encoding=UTF8&psc=1;Ray Dalio;$18.00;464;4.4 out of 5 stars
I've Loved You Since Forever;https://www.amazon.in/Ive-Loved-You-Since-Forever/dp/0062841742?_encoding=UTF8&psc=1;Hoda Kotb;$14.24;78;4.5 out of 5 stars
