Name;URL;Author;Price;Number of ratings;Average Rating
On Tyranny: Twenty Lessons from the Twentieth Century;https://www.amazon.com/Tyranny-Twenty-Lessons-Twentieth-Century/dp/0804190119?_encoding=UTF8&psc=1;Timothy Snyder;$5.84;1,830;4.6 out of 5 stars
The Pout-Pout Fish;https://www.amazon.com/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979?_encoding=UTF8&psc=1;Deborah Diesen;$5.79;2,287;4.8 out of 5 stars
Embraced: 100 Devotions to Know God Is Holding You Close;https://www.amazon.com/Embraced-Devotions-Know-Holding-Close/dp/1400310296?_encoding=UTF8&psc=1;Lysa TerKeurst;$12.39;8;4.7 out of 5 stars
World of Warcraft Chronicle Volume 3;https://www.amazon.com/World-Warcraft-Chronicle-BLIZZARD-ENTERTAINMENT/dp/1616558474?_encoding=UTF8&psc=1;BLIZZARD;$23.99;7;3.1 out of 5 stars
Dungeon Master's Guide (D&D Core Rulebook);https://www.amazon.com/Dungeon-Masters-Guide-Core-Rulebook/dp/0786965622?_encoding=UTF8&psc=1;Wizards RPG Team;$23.98;1,138;4.6 out of 5 stars
Astrophysics for People in a Hurry;https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?_encoding=UTF8&psc=1;Neil deGrasse Tyson;$11.37;2,606;4.6 out of 5 stars
God Gave Us Easter;https://www.amazon.com/Gave-Easter-Lisa-Tawn-Bergren/dp/0307730727?_encoding=UTF8&psc=1;Lisa Tawn Bergren;$7.59;258;4.6 out of 5 stars
StrengthsFinder 2.0;https://www.amazon.com/StrengthsFinder-2-0-Tom-Rath/dp/159562015X?_encoding=UTF8&psc=1;Tom Rath;$17.79;3,425;4.0 out of 5 stars
The Great Easter Race! (Sesame Street Scribbles);https://www.amazon.com/Great-Easter-Sesame-Street-Scribbles/dp/1492638374?_encoding=UTF8&psc=1;Sesame Workshop;$6.98;10;5.0 out of 5 stars
What to Expect When You're Expecting;https://www.amazon.com/What-Expect-When-Youre-Expecting/dp/0761187480?_encoding=UTF8&psc=1;Heidi Murkoff;$14.36;4,050;4.4 out of 5 stars
Beneath a Scarlet Sky: A Novel;https://www.amazon.com/Beneath-Scarlet-Sky-Mark-Sullivan/dp/1503943372?_encoding=UTF8&psc=1;Mark Sullivan;$8.63;17,119;4.8 out of 5 stars
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;https://www.amazon.com/Habits-Highly-Effective-People-Powerful/dp/1451639619?_encoding=UTF8&psc=1;Stephen R. Covey;$10.25;4,962;4.5 out of 5 stars
The Alchemist;https://www.amazon.com/Alchemist-Paulo-Coelho/dp/0062315005?_encoding=UTF8&psc=1;Paulo Coelho;$10.19;11,748;4.6 out of 5 stars
Everything Happens for a Reason: And Other Lies I've Loved;https://www.amazon.com/Everything-Happens-Reason-Other-Loved/dp/0399592067?_encoding=UTF8&psc=1;Kate Bowler;$18.20;168;4.6 out of 5 stars
Bright Baby Touch and Feel Easter;https://www.amazon.com/Bright-Baby-Touch-Feel-Easter/dp/0312513755?_encoding=UTF8&psc=1;Roger Priddy;$3.80;172;3.5 out of 5 stars
Baby Touch and Feel: Animals;https://www.amazon.com/Baby-Touch-Feel-Animals-DK/dp/0756634687?_encoding=UTF8&psc=1;DK;$4.19;1,626;4.5 out of 5 stars
The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence;https://www.amazon.com/Keto-Diet-Complete-Delectable-Confidence/dp/1628600160?_encoding=UTF8&psc=1;Leanne Vogel;$25.63;1,456;4.6 out of 5 stars
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals;https://www.amazon.com/Instant-Electric-Pressure-Cooker-Cookbook/dp/1623156122?_encoding=UTF8&psc=1;Laurel Randolph;$7.19;2,243;4.1 out of 5 stars
Brown Bear, Brown Bear, What Do You See?;https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905?_encoding=UTF8&psc=1;Bill Martin Jr.;$6.08;2,670;4.8 out of 5 stars
Unfu*k Yourself: Get Out of Your Head and into Your Life;https://www.amazon.com/Unfu-Yourself-Your-Head-into/dp/0062803832?_encoding=UTF8&psc=1;Gary John Bishop;$11.54;533;4.5 out of 5 stars
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering;https://www.amazon.com/Lettering-Modern-Calligraphy-Beginners-Guide/dp/1948209004?_encoding=UTF8&psc=1;Paper Peony Press;$6.99;173;4.5 out of 5 stars
Love You Forever;https://www.amazon.com/Love-You-Forever-Robert-Munsch/dp/0920668372?_encoding=UTF8&psc=1;Robert Munsch;$5.08;6,344;4.8 out of 5 stars
Big Preschool Workbook;https://www.amazon.com/Preschool-Workbook-School-Zone-Staff/dp/0887431453?_encoding=UTF8&psc=1;School Zone Staff;$7.49;709;4.7 out of 5 stars
Potty (Leslie Patricelli board books);https://www.amazon.com/Potty-Leslie-Patricelli-board-books/dp/0763644765?_encoding=UTF8&psc=1;Leslie Patricelli;$4.00;2,976;4.6 out of 5 stars
Educated: A Memoir;https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?_encoding=UTF8&psc=1;Tara Westover;$16.80;497;4.7 out of 5 stars
The List: A Week-by-Week Reckoning of Trumpâ€™s First Year;https://www.amazon.com/List-Week-Week-Reckoning-Trumps/dp/1635572711?_encoding=UTF8&psc=1;Amy Siskind;$22.79;73;5.0 out of 5 stars
Marlon Bundo's Day in the Life of the Vice President;https://www.amazon.com/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1;Charlotte Pence;$11.39;344;4.6 out of 5 stars
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;https://www.amazon.com/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?_encoding=UTF8&psc=1;Michelle McNamara;$16.79;190;4.6 out of 5 stars
Jesus Calling: Enjoying Peace in His Presence;https://www.amazon.com/Jesus-Calling-Enjoying-Peace-Presence/dp/1591451884?_encoding=UTF8&psc=1;Sarah Young;$9.72;16,576;4.9 out of 5 stars
The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma;https://www.amazon.com/Body-Keeps-Score-Healing-Trauma/dp/0143127748?_encoding=UTF8&psc=1;Bessel van der Kolk;$12.23;1,496;4.8 out of 5 stars
My First Easter;https://www.amazon.com/My-First-Easter-Tomie-dePaola/dp/0448447908?_encoding=UTF8&psc=1;Tomie dePaola;$5.24;84;4.1 out of 5 stars
The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat);https://www.amazon.com/Official-SAT-Study-Guide-2018/dp/1457309289?_encoding=UTF8&psc=1;The College Board;$19.79;221;4.5 out of 5 stars
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are;https://www.amazon.com/Gifts-Imperfection-Think-Supposed-Embrace/dp/159285849X?_encoding=UTF8&psc=1;Brené Brown;$8.99;3,711;4.6 out of 5 stars
The Death and Life of the Great Lakes;https://www.amazon.com/Death-Life-Great-Lakes/dp/0393246434?_encoding=UTF8&psc=1;Dan Egan;$17.60;136;4.8 out of 5 stars
The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition;https://www.amazon.com/Care-Keeping-You-Younger-Revised/dp/1609580834?_encoding=UTF8&psc=1;Valorie Schaefer;$8.89;2,462;4.8 out of 5 stars
A Brief History of Time;https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168?_encoding=UTF8&psc=1;Stephen Hawking;$10.69;2,107;4.5 out of 5 stars
Am I There Yet?: The Loop-de-loop, Zigzagging Journey to Adulthood;https://www.amazon.com/There-Yet-Loop-loop-Zigzagging/dp/1524761435?_encoding=UTF8&psc=1;Mari Andrew;$12.81;19;5.0 out of 5 stars
10-Day Green Smoothie Cleanse;https://www.amazon.com/10-Day-Green-Smoothie-Cleanse-Smith/dp/1501100106?_encoding=UTF8&psc=1;JJ Smith;$9.59;8,700;4.7 out of 5 stars
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness;https://www.amazon.com/Total-Money-Makeover-Classic-Financial/dp/1595555277?_encoding=UTF8&psc=1;Dave Ramsey;$14.49;5,725;4.7 out of 5 stars
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing;https://www.amazon.com/Life-Changing-Magic-Tidying-Decluttering-Organizing/dp/1607747308?_encoding=UTF8&psc=1;Marie Kondō;$10.19;12,931;4.4 out of 5 stars
Man's Search for Meaning;https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/080701429X?_encoding=UTF8&psc=1;Viktor E. Frankl;$6.99;4,101;4.7 out of 5 stars
The Rational Bible: Exodus;https://www.amazon.com/Rational-Bible-Exodus-Dennis-Prager/dp/1621577724?_encoding=UTF8&psc=1;Dennis Prager;$31.40;Not Available;Not Available
I've Been Thinking . . .: Reflections, Prayers, and Meditations for a Meaningful Life;https://www.amazon.com/Ive-Been-Thinking-Reflections-Meditations/dp/0525522603?_encoding=UTF8&psc=1;Maria Shriver;$12.00;181;4.9 out of 5 stars
Discrimination and Disparities;https://www.amazon.com/Discrimination-Disparities-Thomas-Sowell/dp/154164560X?_encoding=UTF8&psc=1;Thomas Sowell;$16.80;10;4.3 out of 5 stars
The Untethered Soul: The Journey Beyond Yourself;https://www.amazon.com/Untethered-Soul-Journey-Beyond-Yourself/dp/1572245379?_encoding=UTF8&psc=1;Michael A. Singer;$12.00;4,370;4.7 out of 5 stars
A Gentleman in Moscow: A Novel;https://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?_encoding=UTF8&psc=1;Amor Towles;$16.20;7,758;4.7 out of 5 stars
Medical Medium Thyroid Healing: The Truth behind Hashimoto's, Graves', Insomnia, Hypothyroidism, Thyroid Nodules & Epstein-Barr;https://www.amazon.com/Medical-Medium-Thyroid-Healing-Hypothyroidism/dp/1401948367?_encoding=UTF8&psc=1;Anthony William;$16.31;1,191;4.8 out of 5 stars
